x                   v                   t
0.0205374          -0.0078436                 7.5
0.0204591         -0.00781371                7.51
0.0203811         -0.00778393                7.52
0.0203034         -0.00775427                7.53
0.020226         -0.00772472                7.54
0.0201489         -0.00769528                7.55
0.0200721         -0.00766595                7.56
0.0199956         -0.00763674                7.57
0.0199194         -0.00760763                7.58
0.0198435         -0.00757864                7.59
0.0197678         -0.00754976                 7.6
0.0196925         -0.00752098                7.61
0.0196174         -0.00749232                7.62
0.0195426         -0.00746377                7.63
0.0194681         -0.00743532                7.64
0.0193939         -0.00740699                7.65
0.01932         -0.00737876                7.66
0.0192463         -0.00735064                7.67
0.019173         -0.00732262                7.68
0.0190999         -0.00729471                7.69
0.0190271         -0.00726691                 7.7
0.0189545         -0.00723922                7.71
0.0188823         -0.00721163                7.72
0.0188103         -0.00718414                7.73
0.0187386         -0.00715676                7.74
0.0186672         -0.00712949                7.75
0.018596         -0.00710231                7.76
0.0185251         -0.00707525                7.77
0.0184545         -0.00704828                7.78
0.0183842         -0.00702142                7.79
0.0183141         -0.00699466                 7.8
0.0182443           -0.006968                7.81
0.0181747         -0.00694144                7.82
0.0181054         -0.00691499                7.83
0.0180364         -0.00688863                7.84
0.0179677         -0.00686238                7.85
0.0178992         -0.00683622                7.86
0.0178309         -0.00681017                7.87
0.017763         -0.00678421                7.88
0.0176953         -0.00675836                7.89
0.0176278          -0.0067326                 7.9
0.0175606         -0.00670694                7.91
0.0174937         -0.00668138                7.92
0.017427         -0.00665591                7.93
0.0173605         -0.00663054                7.94
0.0172944         -0.00660527                7.95
0.0172284          -0.0065801                7.96
0.0171628         -0.00655502                7.97
0.0170973         -0.00653003                7.98
0.0170322         -0.00650515                7.99
0.0169672         -0.00648035                   8
0.0169025         -0.00645565                8.01
0.0168381         -0.00643105                8.02
0.0167739         -0.00640654                8.03
0.01671         -0.00638212                8.04
0.0166463         -0.00635779                8.05
0.0165828         -0.00633356                8.06
0.0165196         -0.00630942                8.07
0.0164566         -0.00628537                8.08
0.0163939         -0.00626142                8.09
0.0163314         -0.00623755                 8.1
0.0162692         -0.00621378                8.11
0.0162071         -0.00619009                8.12
0.0161454          -0.0061665                8.13
0.0160838           -0.006143                8.14
0.0160225         -0.00611958                8.15
0.0159614         -0.00609626                8.16
0.0159006         -0.00607302                8.17
0.01584         -0.00604987                8.18
0.0157796         -0.00602681                8.19
0.0157194         -0.00600384                 8.2
0.0156595         -0.00598096                8.21
0.0155998         -0.00595816                8.22
0.0155403         -0.00593545                8.23
0.0154811         -0.00591283                8.24
0.0154221         -0.00589029                8.25
0.0153633         -0.00586784                8.26
0.0153047         -0.00584547                8.27
0.0152464         -0.00582319                8.28
0.0151883           -0.005801                8.29
0.0151304         -0.00577889                 8.3
0.0150727         -0.00575686                8.31
0.0150152         -0.00573492                8.32
0.014958         -0.00571306                8.33
0.014901         -0.00569128                8.34
0.0148441         -0.00566959                8.35
0.0147876         -0.00564798                8.36
0.0147312         -0.00562645                8.37
0.014675         -0.00560501                8.38
0.0146191         -0.00558364                8.39
0.0145634         -0.00556236                 8.4
0.0145078         -0.00554116                8.41
0.0144525         -0.00552004                8.42
0.0143974         -0.00549899                8.43
0.0143426         -0.00547803                8.44
0.0142879         -0.00545715                8.45
0.0142334         -0.00543635                8.46
0.0141792         -0.00541563                8.47
0.0141251         -0.00539499                8.48
0.0140713         -0.00537442                8.49
0.0140176         -0.00535394                 8.5
